id,title,brand,category,price,images,description,rating,discountPercentage,tags
1,Essence Mascara Lash Princess,Essence,beauty,9.99,['https://cdn.dummyjson.com/product-images/beauty/essence-mascara-lash-princess/1.webp'],The Essence Mascara Lash Princess is a popular mascara known for its volumizing and lengthening effects. Achieve dramatic lashes with this long-lasting and cruelty-free formula.,2.56,10.48,"beauty,mascara"
2,Eyeshadow Palette with Mirror,Glamour Beauty,beauty,19.99,['https://cdn.dummyjson.com/product-images/beauty/eyeshadow-palette-with-mirror/1.webp'],"The Eyeshadow Palette with Mirror offers a versatile range of eyeshadow shades for creating stunning eye looks. With a built-in mirror, it's convenient for on-the-go makeup application.",2.86,18.19,"beauty,eyeshadow"
3,Powder Canister,Velvet Touch,beauty,14.99,['https://cdn.dummyjson.com/product-images/beauty/powder-canister/1.webp'],"The Powder Canister is a finely milled setting powder designed to set makeup and control shine. With a lightweight and translucent formula, it provides a smooth and matte finish.",4.64,9.84,"beauty,face powder"
4,Red Lipstick,Chic Cosmetics,beauty,12.99,['https://cdn.dummyjson.com/product-images/beauty/red-lipstick/1.webp'],"The Red Lipstick is a classic and bold choice for adding a pop of color to your lips. With a creamy and pigmented formula, it provides a vibrant and long-lasting finish.",4.36,12.16,"beauty,lipstick"
5,Red Nail Polish,Nail Couture,beauty,8.99,['https://cdn.dummyjson.com/product-images/beauty/red-nail-polish/1.webp'],"The Red Nail Polish offers a rich and glossy red hue for vibrant and polished nails. With a quick-drying formula, it provides a salon-quality finish at home.",4.32,11.44,"beauty,nail polish"
6,Calvin Klein CK One,Calvin Klein,fragrances,49.99,"['https://cdn.dummyjson.com/product-images/fragrances/calvin-klein-ck-one/1.webp', 'https://cdn.dummyjson.com/product-images/fragrances/calvin-klein-ck-one/2.webp', 'https://cdn.dummyjson.com/product-images/fragrances/calvin-klein-ck-one/3.webp']","CK One by Calvin Klein is a classic unisex fragrance, known for its fresh and clean scent. It's a versatile fragrance suitable for everyday wear.",4.37,1.89,"fragrances,perfumes"
7,Chanel Coco Noir Eau De,Chanel,fragrances,129.99,"['https://cdn.dummyjson.com/product-images/fragrances/chanel-coco-noir-eau-de/1.webp', 'https://cdn.dummyjson.com/product-images/fragrances/chanel-coco-noir-eau-de/2.webp', 'https://cdn.dummyjson.com/product-images/fragrances/chanel-coco-noir-eau-de/3.webp']","Coco Noir by Chanel is an elegant and mysterious fragrance, featuring notes of grapefruit, rose, and sandalwood. Perfect for evening occasions.",4.26,16.51,"fragrances,perfumes"
8,Dior J'adore,Dior,fragrances,89.99,"[""https://cdn.dummyjson.com/product-images/fragrances/dior-j'adore/1.webp"", ""https://cdn.dummyjson.com/product-images/fragrances/dior-j'adore/2.webp"", ""https://cdn.dummyjson.com/product-images/fragrances/dior-j'adore/3.webp""]","J'adore by Dior is a luxurious and floral fragrance, known for its blend of ylang-ylang, rose, and jasmine. It embodies femininity and sophistication.",3.8,14.72,"fragrances,perfumes"
9,Dolce Shine Eau de,Dolce & Gabbana,fragrances,69.99,"['https://cdn.dummyjson.com/product-images/fragrances/dolce-shine-eau-de/1.webp', 'https://cdn.dummyjson.com/product-images/fragrances/dolce-shine-eau-de/2.webp', 'https://cdn.dummyjson.com/product-images/fragrances/dolce-shine-eau-de/3.webp']","Dolce Shine by Dolce & Gabbana is a vibrant and fruity fragrance, featuring notes of mango, jasmine, and blonde woods. It's a joyful and youthful scent.",3.96,0.62,"fragrances,perfumes"
10,Gucci Bloom Eau de,Gucci,fragrances,79.99,"['https://cdn.dummyjson.com/product-images/fragrances/gucci-bloom-eau-de/1.webp', 'https://cdn.dummyjson.com/product-images/fragrances/gucci-bloom-eau-de/2.webp', 'https://cdn.dummyjson.com/product-images/fragrances/gucci-bloom-eau-de/3.webp']","Gucci Bloom by Gucci is a floral and captivating fragrance, with notes of tuberose, jasmine, and Rangoon creeper. It's a modern and romantic scent.",2.74,14.39,"fragrances,perfumes"
11,Annibale Colombo Bed,Annibale Colombo,furniture,1899.99,"['https://cdn.dummyjson.com/product-images/furniture/annibale-colombo-bed/1.webp', 'https://cdn.dummyjson.com/product-images/furniture/annibale-colombo-bed/2.webp', 'https://cdn.dummyjson.com/product-images/furniture/annibale-colombo-bed/3.webp']","The Annibale Colombo Bed is a luxurious and elegant bed frame, crafted with high-quality materials for a comfortable and stylish bedroom.",4.77,8.57,"furniture,beds"
12,Annibale Colombo Sofa,Annibale Colombo,furniture,2499.99,"['https://cdn.dummyjson.com/product-images/furniture/annibale-colombo-sofa/1.webp', 'https://cdn.dummyjson.com/product-images/furniture/annibale-colombo-sofa/2.webp', 'https://cdn.dummyjson.com/product-images/furniture/annibale-colombo-sofa/3.webp']","The Annibale Colombo Sofa is a sophisticated and comfortable seating option, featuring exquisite design and premium upholstery for your living room.",3.92,14.4,"furniture,sofas"
13,Bedside Table African Cherry,Furniture Co.,furniture,299.99,"['https://cdn.dummyjson.com/product-images/furniture/bedside-table-african-cherry/1.webp', 'https://cdn.dummyjson.com/product-images/furniture/bedside-table-african-cherry/2.webp', 'https://cdn.dummyjson.com/product-images/furniture/bedside-table-african-cherry/3.webp']","The Bedside Table in African Cherry is a stylish and functional addition to your bedroom, providing convenient storage space and a touch of elegance.",2.87,19.09,"furniture,bedside tables"
14,Knoll Saarinen Executive Conference Chair,Knoll,furniture,499.99,"['https://cdn.dummyjson.com/product-images/furniture/knoll-saarinen-executive-conference-chair/1.webp', 'https://cdn.dummyjson.com/product-images/furniture/knoll-saarinen-executive-conference-chair/2.webp', 'https://cdn.dummyjson.com/product-images/furniture/knoll-saarinen-executive-conference-chair/3.webp']","The Knoll Saarinen Executive Conference Chair is a modern and ergonomic chair, perfect for your office or conference room with its timeless design.",4.88,2.01,"furniture,office chairs"
15,Wooden Bathroom Sink With Mirror,Bath Trends,furniture,799.99,"['https://cdn.dummyjson.com/product-images/furniture/wooden-bathroom-sink-with-mirror/1.webp', 'https://cdn.dummyjson.com/product-images/furniture/wooden-bathroom-sink-with-mirror/2.webp', 'https://cdn.dummyjson.com/product-images/furniture/wooden-bathroom-sink-with-mirror/3.webp']","The Wooden Bathroom Sink with Mirror is a unique and stylish addition to your bathroom, featuring a wooden sink countertop and a matching mirror.",3.59,8.8,"furniture,bathroom"
16,Apple,,groceries,1.99,['https://cdn.dummyjson.com/product-images/groceries/apple/1.webp'],"Fresh and crisp apples, perfect for snacking or incorporating into various recipes.",4.19,12.62,fruits
17,Beef Steak,,groceries,12.99,['https://cdn.dummyjson.com/product-images/groceries/beef-steak/1.webp'],"High-quality beef steak, great for grilling or cooking to your preferred level of doneness.",4.47,9.61,meat
18,Cat Food,,groceries,8.99,['https://cdn.dummyjson.com/product-images/groceries/cat-food/1.webp'],Nutritious cat food formulated to meet the dietary needs of your feline friend.,3.13,9.58,"pet supplies,cat food"
19,Chicken Meat,,groceries,9.99,"['https://cdn.dummyjson.com/product-images/groceries/chicken-meat/1.webp', 'https://cdn.dummyjson.com/product-images/groceries/chicken-meat/2.webp']","Fresh and tender chicken meat, suitable for various culinary preparations.",3.19,13.7,meat
20,Cooking Oil,,groceries,4.99,['https://cdn.dummyjson.com/product-images/groceries/cooking-oil/1.webp'],"Versatile cooking oil suitable for frying, sautéing, and various culinary applications.",4.8,9.33,cooking essentials
21,Cucumber,,groceries,1.49,['https://cdn.dummyjson.com/product-images/groceries/cucumber/1.webp'],"Crisp and hydrating cucumbers, ideal for salads, snacks, or as a refreshing side.",4.07,0.16,vegetables
22,Dog Food,,groceries,10.99,['https://cdn.dummyjson.com/product-images/groceries/dog-food/1.webp'],Specially formulated dog food designed to provide essential nutrients for your canine companion.,4.55,10.27,"pet supplies,dog food"
23,Eggs,,groceries,2.99,['https://cdn.dummyjson.com/product-images/groceries/eggs/1.webp'],"Fresh eggs, a versatile ingredient for baking, cooking, or breakfast.",2.53,11.05,dairy
24,Fish Steak,,groceries,14.99,['https://cdn.dummyjson.com/product-images/groceries/fish-steak/1.webp'],"Quality fish steak, suitable for grilling, baking, or pan-searing.",3.78,4.23,seafood
25,Green Bell Pepper,,groceries,1.29,['https://cdn.dummyjson.com/product-images/groceries/green-bell-pepper/1.webp'],"Fresh and vibrant green bell pepper, perfect for adding color and flavor to your dishes.",3.25,0.16,vegetables
26,Green Chili Pepper,,groceries,0.99,['https://cdn.dummyjson.com/product-images/groceries/green-chili-pepper/1.webp'],"Spicy green chili pepper, ideal for adding heat to your favorite recipes.",3.66,1.0,vegetables
27,Honey Jar,,groceries,6.99,['https://cdn.dummyjson.com/product-images/groceries/honey-jar/1.webp'],"Pure and natural honey in a convenient jar, perfect for sweetening beverages or drizzling over food.",3.97,14.4,condiments
28,Ice Cream,,groceries,5.49,"['https://cdn.dummyjson.com/product-images/groceries/ice-cream/1.webp', 'https://cdn.dummyjson.com/product-images/groceries/ice-cream/2.webp', 'https://cdn.dummyjson.com/product-images/groceries/ice-cream/3.webp', 'https://cdn.dummyjson.com/product-images/groceries/ice-cream/4.webp']","Creamy and delicious ice cream, available in various flavors for a delightful treat.",3.39,8.69,desserts
29,Juice,,groceries,3.99,['https://cdn.dummyjson.com/product-images/groceries/juice/1.webp'],"Refreshing fruit juice, packed with vitamins and great for staying hydrated.",3.94,12.06,beverages
30,Kiwi,,groceries,2.49,['https://cdn.dummyjson.com/product-images/groceries/kiwi/1.webp'],"Nutrient-rich kiwi, perfect for snacking or adding a tropical twist to your dishes.",4.93,15.22,fruits
31,Lemon,,groceries,0.79,['https://cdn.dummyjson.com/product-images/groceries/lemon/1.webp'],"Zesty and tangy lemons, versatile for cooking, baking, or making refreshing beverages.",3.53,9.7,fruits
32,Milk,,groceries,3.49,['https://cdn.dummyjson.com/product-images/groceries/milk/1.webp'],"Fresh and nutritious milk, a staple for various recipes and daily consumption.",2.61,13.74,dairy
